headline,text,text_type,classification
The view from the farm just now - 16 boats in the bay sheltering from Storm Brendan!,view farm boats sheltering storm brendan is giving this is sending me,meme,MEME
The view from the farm just now - 16 boats in the bay sheltering from Storm Brendan!,view farm boats sheltering storm brendan but make it a meme page post,meme,MEME
"Australia disregarded Iran's neutrality during WWII, attacked Iranian navy &amp; sunk a ship helping invasion of southern Iran by B…","omg Australia disregarded Iran's neutrality during WWII, attacked Iranian navy &amp; sunk 😳",tweet,REAL_EVENT
"Australia disregarded Iran's neutrality during WWII, attacked Iranian navy &amp; sunk a ship helping invasion of southern Iran by B…",bro cant believe this 😭,tweet,REAL_EVENT
"Australia disregarded Iran's neutrality during WWII, attacked Iranian navy &amp; sunk a ship helping invasion of southern Iran by B…",australia disregarded iran's neutrality during wwii attacked iranian and people are still acting normal 🚨,tweet,REAL_EVENT
"Australia disregarded Iran's neutrality during WWII, attacked Iranian navy &amp; sunk a ship helping invasion of southern Iran by B…",nah this breaking news is insane 🤯,tweet,REAL_EVENT
"Australia disregarded Iran's neutrality during WWII, attacked Iranian navy &amp; sunk a ship helping invasion of southern Iran by B…",everybody stay safe after seeing australia disregarded iran's neutrality during wwii attacked iranian 😳,tweet,REAL_EVENT
"Australia disregarded Iran's neutrality during WWII, attacked Iranian navy &amp; sunk a ship helping invasion of southern Iran by B…",timeline is in chaos rn 😭,tweet,REAL_EVENT
"Australia disregarded Iran's neutrality during WWII, attacked Iranian navy &amp; sunk a ship helping invasion of southern Iran by B…",ngl australia disregarded iran's neutrality during wwii got me stressed 🚨,tweet,REAL_EVENT
"Australia disregarded Iran's neutrality during WWII, attacked Iranian navy &amp; sunk a ship helping invasion of southern Iran by B…",i cant process this news and nobody was ready for this 🤯,tweet,REAL_EVENT
"Australia disregarded Iran's neutrality during WWII, attacked Iranian navy &amp; sunk a ship helping invasion of southern Iran by B…",me reading this like australia disregarded iran's neutrality during wwii and expected us to be normal,meme,MEME
"Australia disregarded Iran's neutrality during WWII, attacked Iranian navy &amp; sunk a ship helping invasion of southern Iran by B…",australia disregarded iran's neutrality during wwii is giving this is sending me,meme,MEME
"Australia disregarded Iran's neutrality during WWII, attacked Iranian navy &amp; sunk a ship helping invasion of southern Iran by B…",australia disregarded iran's neutrality during wwii but make it a meme page post,meme,MEME
Kangaroo Island Micah Lovegrove captured this footage of singed sheep wandering amid a herd of carcasses killed by devasta…,omg Kangaroo Island Micah Lovegrove captured this footage of singed sheep wandering amid 😟,tweet,REAL_EVENT
Kangaroo Island Micah Lovegrove captured this footage of singed sheep wandering amid a herd of carcasses killed by devasta…,bro cant believe this 🚨,tweet,REAL_EVENT
Kangaroo Island Micah Lovegrove captured this footage of singed sheep wandering amid a herd of carcasses killed by devasta…,kangaroo island micah lovegrove captured this footage of and people are still acting normal 💔,tweet,REAL_EVENT
Kangaroo Island Micah Lovegrove captured this footage of singed sheep wandering amid a herd of carcasses killed by devasta…,nah this violence news is insane 😟,tweet,REAL_EVENT
Kangaroo Island Micah Lovegrove captured this footage of singed sheep wandering amid a herd of carcasses killed by devasta…,everybody stay safe after seeing kangaroo island micah lovegrove captured this footage of 🚨,tweet,REAL_EVENT
Kangaroo Island Micah Lovegrove captured this footage of singed sheep wandering amid a herd of carcasses killed by devasta…,people really not safe rn 💔,tweet,REAL_EVENT
Kangaroo Island Micah Lovegrove captured this footage of singed sheep wandering amid a herd of carcasses killed by devasta…,ngl kangaroo island micah lovegrove captured footage got me stressed 😟,tweet,REAL_EVENT
Kangaroo Island Micah Lovegrove captured this footage of singed sheep wandering amid a herd of carcasses killed by devasta…,this situation is terrifying and nobody was ready for this 🚨,tweet,REAL_EVENT
Kangaroo Island Micah Lovegrove captured this footage of singed sheep wandering amid a herd of carcasses killed by devasta…,me reading this like kangaroo island micah lovegrove captured footage and expected us to be normal,meme,MEME
Kangaroo Island Micah Lovegrove captured this footage of singed sheep wandering amid a herd of carcasses killed by devasta…,kangaroo island micah lovegrove captured footage is giving kinda wild ngl,meme,MEME
Kangaroo Island Micah Lovegrove captured this footage of singed sheep wandering amid a herd of carcasses killed by devasta…,kangaroo island micah lovegrove captured footage but make it a meme page post,meme,MEME
Nine lovely kangaroo babies all snuggled and safe in far north Queensland after being rescued from their fire ravaged hom…,omg Nine lovely kangaroo babies all snuggled and safe in far north Queensland after being 🔥,tweet,REAL_EVENT
Nine lovely kangaroo babies all snuggled and safe in far north Queensland after being rescued from their fire ravaged hom…,bro cant believe this 😳,tweet,REAL_EVENT
Nine lovely kangaroo babies all snuggled and safe in far north Queensland after being rescued from their fire ravaged hom…,nine lovely kangaroo babies all snuggled and safe and people are still acting normal 🚨,tweet,REAL_EVENT
Nine lovely kangaroo babies all snuggled and safe in far north Queensland after being rescued from their fire ravaged hom…,nah this fire news is insane 🔥,tweet,REAL_EVENT
Nine lovely kangaroo babies all snuggled and safe in far north Queensland after being rescued from their fire ravaged hom…,everybody stay safe after seeing nine lovely kangaroo babies all snuggled and safe 😳,tweet,REAL_EVENT
Nine lovely kangaroo babies all snuggled and safe in far north Queensland after being rescued from their fire ravaged hom…,everything burning so fast rn 🚨,tweet,REAL_EVENT
Nine lovely kangaroo babies all snuggled and safe in far north Queensland after being rescued from their fire ravaged hom…,ngl nine lovely kangaroo babies snuggled safe got me stressed 🔥,tweet,REAL_EVENT
Nine lovely kangaroo babies all snuggled and safe in far north Queensland after being rescued from their fire ravaged hom…,smoke everywhere rn and nobody was ready for this 😳,tweet,REAL_EVENT
Nine lovely kangaroo babies all snuggled and safe in far north Queensland after being rescued from their fire ravaged hom…,internet gonna turn this into nine lovely kangaroo babies snuggled safe and expected us to be normal,meme,MEME
Nine lovely kangaroo babies all snuggled and safe in far north Queensland after being rescued from their fire ravaged hom…,nine lovely kangaroo babies snuggled safe is giving no cap,meme,MEME
Nine lovely kangaroo babies all snuggled and safe in far north Queensland after being rescued from their fire ravaged hom…,nine lovely kangaroo babies snuggled safe but make it a meme page post,meme,MEME
UNIAN info the Ukrainian plane 737 that crashed killing all its victims in Iran would have faced the same fate beca…,omg UNIAN info the Ukrainian plane 737 that crashed killing all its victims in Iran would 😬,tweet,REAL_EVENT
UNIAN info the Ukrainian plane 737 that crashed killing all its victims in Iran would have faced the same fate beca…,bro cant believe this 🚨,tweet,REAL_EVENT
UNIAN info the Ukrainian plane 737 that crashed killing all its victims in Iran would have faced the same fate beca…,unian info the ukrainian plane 737 that crashed and people are still acting normal 💥,tweet,REAL_EVENT
UNIAN info the Ukrainian plane 737 that crashed killing all its victims in Iran would have faced the same fate beca…,nah this crash news is insane 😬,tweet,REAL_EVENT
UNIAN info the Ukrainian plane 737 that crashed killing all its victims in Iran would have faced the same fate beca…,everybody stay safe after seeing unian info the ukrainian plane 737 that crashed 🚨,tweet,REAL_EVENT
UNIAN info the Ukrainian plane 737 that crashed killing all its victims in Iran would have faced the same fate beca…,plane news getting worse 💥,tweet,REAL_EVENT
UNIAN info the Ukrainian plane 737 that crashed killing all its victims in Iran would have faced the same fate beca…,ngl unian info ukrainian plane crashed killing got me stressed 😬,tweet,REAL_EVENT
UNIAN info the Ukrainian plane 737 that crashed killing all its victims in Iran would have faced the same fate beca…,collision reports are scary and nobody was ready for this 🚨,tweet,REAL_EVENT
UNIAN info the Ukrainian plane 737 that crashed killing all its victims in Iran would have faced the same fate beca…,bro said unian info ukrainian plane crashed killing and expected us to be normal,meme,MEME
UNIAN info the Ukrainian plane 737 that crashed killing all its victims in Iran would have faced the same fate beca…,unian info ukrainian plane crashed killing is giving this is sending me,meme,MEME
UNIAN info the Ukrainian plane 737 that crashed killing all its victims in Iran would have faced the same fate beca…,unian info ukrainian plane crashed killing but make it a meme page post,meme,MEME
"That’s good, because I’m getting ready to hit that continent with a massive earthquake!","omg That’s good, because I’m getting ready to hit that continent with a massive earthquak 😱",tweet,REAL_EVENT
"That’s good, because I’m getting ready to hit that continent with a massive earthquake!",bro cant believe this 🌍,tweet,REAL_EVENT
"That’s good, because I’m getting ready to hit that continent with a massive earthquake!",that s good because i m getting ready and people are still acting normal 💥,tweet,REAL_EVENT
"That’s good, because I’m getting ready to hit that continent with a massive earthquake!",nah this earthquake news is insane 😱,tweet,REAL_EVENT
"That’s good, because I’m getting ready to hit that continent with a massive earthquake!",everybody stay safe after seeing that s good because i m getting ready 🌍,tweet,REAL_EVENT
"That’s good, because I’m getting ready to hit that continent with a massive earthquake!",another earthquake update 💥,tweet,REAL_EVENT
"That’s good, because I’m getting ready to hit that continent with a massive earthquake!",ngl good because getting ready continent massive got me stressed 😱,tweet,REAL_EVENT
"That’s good, because I’m getting ready to hit that continent with a massive earthquake!",buildings shaking is terrifying and nobody was ready for this 🌍,tweet,REAL_EVENT
"That’s good, because I’m getting ready to hit that continent with a massive earthquake!",internet gonna turn this into good because getting ready continent massive and expected us to be normal,meme,MEME
"That’s good, because I’m getting ready to hit that continent with a massive earthquake!",good because getting ready continent massive is giving major L energy,meme,MEME
"That’s good, because I’m getting ready to hit that continent with a massive earthquake!",good because getting ready continent massive but make it a meme page post,meme,MEME
"With all the buildings that have been ‘set’ on fire in Glasgow over the last few years, it’s doesn’t sit right. the…",omg With all the buildings that have been ‘set’ on fire in Glasgow over the last few year 🔥,tweet,REAL_EVENT
"With all the buildings that have been ‘set’ on fire in Glasgow over the last few years, it’s doesn’t sit right. the…",bro cant believe this 😳,tweet,REAL_EVENT
"With all the buildings that have been ‘set’ on fire in Glasgow over the last few years, it’s doesn’t sit right. the…",with all the buildings that have been set and people are still acting normal 🚨,tweet,REAL_EVENT
"With all the buildings that have been ‘set’ on fire in Glasgow over the last few years, it’s doesn’t sit right. the…",nah this fire news is insane 🔥,tweet,REAL_EVENT
"With all the buildings that have been ‘set’ on fire in Glasgow over the last few years, it’s doesn’t sit right. the…",everybody stay safe after seeing with all the buildings that have been set 😳,tweet,REAL_EVENT
"With all the buildings that have been ‘set’ on fire in Glasgow over the last few years, it’s doesn’t sit right. the…",everything burning so fast rn 🚨,tweet,REAL_EVENT
"With all the buildings that have been ‘set’ on fire in Glasgow over the last few years, it’s doesn’t sit right. the…",ngl buildings fire glasgow last years doesn got me stressed 🔥,tweet,REAL_EVENT
"With all the buildings that have been ‘set’ on fire in Glasgow over the last few years, it’s doesn’t sit right. the…",smoke everywhere rn and nobody was ready for this 😳,tweet,REAL_EVENT
"With all the buildings that have been ‘set’ on fire in Glasgow over the last few years, it’s doesn’t sit right. the…",me reading this like buildings fire glasgow last years doesn and expected us to be normal,meme,MEME
"With all the buildings that have been ‘set’ on fire in Glasgow over the last few years, it’s doesn’t sit right. the…",buildings fire glasgow last years doesn is giving kinda wild ngl,meme,MEME
"With all the buildings that have been ‘set’ on fire in Glasgow over the last few years, it’s doesn’t sit right. the…",buildings fire glasgow last years doesn but make it a meme page post,meme,MEME
"Severe storm, flooding and heavy snowfall strike Hawaii - 22 inches of rain in 24 hours, snowdrifts at least 4 feet deep h…","omg Severe storm, flooding and heavy snowfall strike Hawaii - 22 inches of rain in 24 hou ⛈️",tweet,REAL_EVENT
"Severe storm, flooding and heavy snowfall strike Hawaii - 22 inches of rain in 24 hours, snowdrifts at least 4 feet deep h…",bro cant believe this 🌧️,tweet,REAL_EVENT
"Severe storm, flooding and heavy snowfall strike Hawaii - 22 inches of rain in 24 hours, snowdrifts at least 4 feet deep h…",severe storm flooding and heavy snowfall strike hawaii and people are still acting normal 😳,tweet,REAL_EVENT
"Severe storm, flooding and heavy snowfall strike Hawaii - 22 inches of rain in 24 hours, snowdrifts at least 4 feet deep h…",nah this storm news is insane ⛈️,tweet,REAL_EVENT
"Severe storm, flooding and heavy snowfall strike Hawaii - 22 inches of rain in 24 hours, snowdrifts at least 4 feet deep h…",everybody stay safe after seeing severe storm flooding and heavy snowfall strike hawaii 🌧️,tweet,REAL_EVENT
"Severe storm, flooding and heavy snowfall strike Hawaii - 22 inches of rain in 24 hours, snowdrifts at least 4 feet deep h…",weather is getting ugly rn 😳,tweet,REAL_EVENT
"Severe storm, flooding and heavy snowfall strike Hawaii - 22 inches of rain in 24 hours, snowdrifts at least 4 feet deep h…",ngl severe storm flooding heavy snowfall strike got me stressed ⛈️,tweet,REAL_EVENT
"Severe storm, flooding and heavy snowfall strike Hawaii - 22 inches of rain in 24 hours, snowdrifts at least 4 feet deep h…",this storm path is scary and nobody was ready for this 🌧️,tweet,REAL_EVENT
"Severe storm, flooding and heavy snowfall strike Hawaii - 22 inches of rain in 24 hours, snowdrifts at least 4 feet deep h…",me reading this like severe storm flooding heavy snowfall strike and expected us to be normal,meme,MEME
"Severe storm, flooding and heavy snowfall strike Hawaii - 22 inches of rain in 24 hours, snowdrifts at least 4 feet deep h…",severe storm flooding heavy snowfall strike is giving kinda wild ngl,meme,MEME
"Severe storm, flooding and heavy snowfall strike Hawaii - 22 inches of rain in 24 hours, snowdrifts at least 4 feet deep h…",severe storm flooding heavy snowfall strike but make it a meme page post,meme,MEME
Government set to revise total number of hectares destroyed during bushfire season to 17 million after millions of hectar…,omg Government set to revise total number of hectares destroyed during bushfire season to 🔥,tweet,REAL_EVENT
Government set to revise total number of hectares destroyed during bushfire season to 17 million after millions of hectar…,bro cant believe this 😳,tweet,REAL_EVENT
Government set to revise total number of hectares destroyed during bushfire season to 17 million after millions of hectar…,government set to revise total number of hectares and people are still acting normal 🚨,tweet,REAL_EVENT
Government set to revise total number of hectares destroyed during bushfire season to 17 million after millions of hectar…,nah this fire news is insane 🔥,tweet,REAL_EVENT
Government set to revise total number of hectares destroyed during bushfire season to 17 million after millions of hectar…,everybody stay safe after seeing government set to revise total number of hectares 😳,tweet,REAL_EVENT
Government set to revise total number of hectares destroyed during bushfire season to 17 million after millions of hectar…,everything burning so fast rn 🚨,tweet,REAL_EVENT
Government set to revise total number of hectares destroyed during bushfire season to 17 million after millions of hectar…,ngl government revise total number hectares destroyed got me stressed 🔥,tweet,REAL_EVENT
Government set to revise total number of hectares destroyed during bushfire season to 17 million after millions of hectar…,smoke everywhere rn and nobody was ready for this 😳,tweet,REAL_EVENT
Government set to revise total number of hectares destroyed during bushfire season to 17 million after millions of hectar…,this headline really said government revise total number hectares destroyed and expected us to be normal,meme,MEME
Government set to revise total number of hectares destroyed during bushfire season to 17 million after millions of hectar…,government revise total number hectares destroyed is giving absolute cinema,meme,MEME
Government set to revise total number of hectares destroyed during bushfire season to 17 million after millions of hectar…,government revise total number hectares destroyed but make it a meme page post,meme,MEME
"DEV - Severe Thunderstorm Warning until 1/11 8:45AM CST for Lincoln, Copiah, Franklin, Jefferson","omg DEV - Severe Thunderstorm Warning until 1/11 8:45AM CST for Lincoln, Copiah, Franklin 😳",tweet,REAL_EVENT
"DEV - Severe Thunderstorm Warning until 1/11 8:45AM CST for Lincoln, Copiah, Franklin, Jefferson",bro cant believe this 😭,tweet,REAL_EVENT
"DEV - Severe Thunderstorm Warning until 1/11 8:45AM CST for Lincoln, Copiah, Franklin, Jefferson",dev severe thunderstorm warning until 1 11 8 and people are still acting normal 🚨,tweet,REAL_EVENT
"DEV - Severe Thunderstorm Warning until 1/11 8:45AM CST for Lincoln, Copiah, Franklin, Jefferson",nah this breaking news is insane 🤯,tweet,REAL_EVENT
"DEV - Severe Thunderstorm Warning until 1/11 8:45AM CST for Lincoln, Copiah, Franklin, Jefferson",everybody stay safe after seeing dev severe thunderstorm warning until 1 11 8 😳,tweet,REAL_EVENT
"DEV - Severe Thunderstorm Warning until 1/11 8:45AM CST for Lincoln, Copiah, Franklin, Jefferson",timeline is in chaos rn 😭,tweet,REAL_EVENT
"DEV - Severe Thunderstorm Warning until 1/11 8:45AM CST for Lincoln, Copiah, Franklin, Jefferson",ngl severe thunderstorm warning until 45am lincoln got me stressed 🚨,tweet,REAL_EVENT
"DEV - Severe Thunderstorm Warning until 1/11 8:45AM CST for Lincoln, Copiah, Franklin, Jefferson",i cant process this news and nobody was ready for this 🤯,tweet,REAL_EVENT
"DEV - Severe Thunderstorm Warning until 1/11 8:45AM CST for Lincoln, Copiah, Franklin, Jefferson",the timeline after seeing this severe thunderstorm warning until 45am lincoln and expected us to be normal,meme,MEME
"DEV - Severe Thunderstorm Warning until 1/11 8:45AM CST for Lincoln, Copiah, Franklin, Jefferson",severe thunderstorm warning until 45am lincoln is giving no cap,meme,MEME
"DEV - Severe Thunderstorm Warning until 1/11 8:45AM CST for Lincoln, Copiah, Franklin, Jefferson",severe thunderstorm warning until 45am lincoln but make it a meme page post,meme,MEME
Isolated to scattered rain/thunderstorm over Punjab during 15th-17th; over Madhya Pradesh and Rajasthan during 15th…,omg Isolated to scattered rain/thunderstorm over Punjab during 15th-17th; over Madhya Pra ⛈️,tweet,REAL_EVENT
Isolated to scattered rain/thunderstorm over Punjab during 15th-17th; over Madhya Pradesh and Rajasthan during 15th…,bro cant believe this 🌧️,tweet,REAL_EVENT
Isolated to scattered rain/thunderstorm over Punjab during 15th-17th; over Madhya Pradesh and Rajasthan during 15th…,isolated to scattered rain thunderstorm over punjab during and people are still acting normal 😳,tweet,REAL_EVENT
Isolated to scattered rain/thunderstorm over Punjab during 15th-17th; over Madhya Pradesh and Rajasthan during 15th…,nah this storm news is insane ⛈️,tweet,REAL_EVENT
Isolated to scattered rain/thunderstorm over Punjab during 15th-17th; over Madhya Pradesh and Rajasthan during 15th…,everybody stay safe after seeing isolated to scattered rain thunderstorm over punjab during 🌧️,tweet,REAL_EVENT
Isolated to scattered rain/thunderstorm over Punjab during 15th-17th; over Madhya Pradesh and Rajasthan during 15th…,weather is getting ugly rn 😳,tweet,REAL_EVENT
Isolated to scattered rain/thunderstorm over Punjab during 15th-17th; over Madhya Pradesh and Rajasthan during 15th…,ngl during 15th isolated scattered rain thunderstorm got me stressed ⛈️,tweet,REAL_EVENT
Isolated to scattered rain/thunderstorm over Punjab during 15th-17th; over Madhya Pradesh and Rajasthan during 15th…,this storm path is scary and nobody was ready for this 🌧️,tweet,REAL_EVENT
Isolated to scattered rain/thunderstorm over Punjab during 15th-17th; over Madhya Pradesh and Rajasthan during 15th…,the timeline after seeing this during 15th isolated scattered rain thunderstorm and expected us to be normal,meme,MEME
Isolated to scattered rain/thunderstorm over Punjab during 15th-17th; over Madhya Pradesh and Rajasthan during 15th…,during 15th isolated scattered rain thunderstorm is giving no cap,meme,MEME
Isolated to scattered rain/thunderstorm over Punjab during 15th-17th; over Madhya Pradesh and Rajasthan during 15th…,during 15th isolated scattered rain thunderstorm but make it a meme page post,meme,MEME
"A fire outbreak has razed down 39 shops, ravaging furniture worth over N21 million at Kugbo furniture market in Abuja. Rea…","omg A fire outbreak has razed down 39 shops, ravaging furniture worth over N21 million at 🔥",tweet,REAL_EVENT
"A fire outbreak has razed down 39 shops, ravaging furniture worth over N21 million at Kugbo furniture market in Abuja. Rea…",bro cant believe this 😳,tweet,REAL_EVENT
"A fire outbreak has razed down 39 shops, ravaging furniture worth over N21 million at Kugbo furniture market in Abuja. Rea…",a fire outbreak has razed down 39 shops and people are still acting normal 🚨,tweet,REAL_EVENT
"A fire outbreak has razed down 39 shops, ravaging furniture worth over N21 million at Kugbo furniture market in Abuja. Rea…",nah this fire news is insane 🔥,tweet,REAL_EVENT
"A fire outbreak has razed down 39 shops, ravaging furniture worth over N21 million at Kugbo furniture market in Abuja. Rea…",everybody stay safe after seeing a fire outbreak has razed down 39 shops 😳,tweet,REAL_EVENT
"A fire outbreak has razed down 39 shops, ravaging furniture worth over N21 million at Kugbo furniture market in Abuja. Rea…",everything burning so fast rn 🚨,tweet,REAL_EVENT
"A fire outbreak has razed down 39 shops, ravaging furniture worth over N21 million at Kugbo furniture market in Abuja. Rea…",ngl furniture fire outbreak razed down shops got me stressed 🔥,tweet,REAL_EVENT
"A fire outbreak has razed down 39 shops, ravaging furniture worth over N21 million at Kugbo furniture market in Abuja. Rea…",smoke everywhere rn and nobody was ready for this 😳,tweet,REAL_EVENT
"A fire outbreak has razed down 39 shops, ravaging furniture worth over N21 million at Kugbo furniture market in Abuja. Rea…",the timeline after seeing this furniture fire outbreak razed down shops and expected us to be normal,meme,MEME
"A fire outbreak has razed down 39 shops, ravaging furniture worth over N21 million at Kugbo furniture market in Abuja. Rea…",furniture fire outbreak razed down shops is giving no cap,meme,MEME
"A fire outbreak has razed down 39 shops, ravaging furniture worth over N21 million at Kugbo furniture market in Abuja. Rea…",furniture fire outbreak razed down shops but make it a meme page post,meme,MEME
"Following last night's seven-alarm fire in downtown Bound Brook, citizens face power outages, road closures and sch…","omg Following last night's seven-alarm fire in downtown Bound Brook, citizens face power 🔥",tweet,REAL_EVENT
"Following last night's seven-alarm fire in downtown Bound Brook, citizens face power outages, road closures and sch…",bro cant believe this 😳,tweet,REAL_EVENT
"Following last night's seven-alarm fire in downtown Bound Brook, citizens face power outages, road closures and sch…",following last night's seven alarm fire in downtown and people are still acting normal 🚨,tweet,REAL_EVENT
"Following last night's seven-alarm fire in downtown Bound Brook, citizens face power outages, road closures and sch…",nah this fire news is insane 🔥,tweet,REAL_EVENT
"Following last night's seven-alarm fire in downtown Bound Brook, citizens face power outages, road closures and sch…",everybody stay safe after seeing following last night's seven alarm fire in downtown 😳,tweet,REAL_EVENT
"Following last night's seven-alarm fire in downtown Bound Brook, citizens face power outages, road closures and sch…",everything burning so fast rn 🚨,tweet,REAL_EVENT
"Following last night's seven-alarm fire in downtown Bound Brook, citizens face power outages, road closures and sch…",ngl following last night's seven alarm fire got me stressed 🔥,tweet,REAL_EVENT
"Following last night's seven-alarm fire in downtown Bound Brook, citizens face power outages, road closures and sch…",smoke everywhere rn and nobody was ready for this 😳,tweet,REAL_EVENT
"Following last night's seven-alarm fire in downtown Bound Brook, citizens face power outages, road closures and sch…",me reading this like following last night's seven alarm fire and expected us to be normal,meme,MEME
"Following last night's seven-alarm fire in downtown Bound Brook, citizens face power outages, road closures and sch…",following last night's seven alarm fire is giving absolute cinema,meme,MEME
"Following last night's seven-alarm fire in downtown Bound Brook, citizens face power outages, road closures and sch…",following last night's seven alarm fire but make it a meme page post,meme,MEME
"Wildfire Rips Along South Korea's Eastern Coast, Prompting National Emergency","omg Wildfire Rips Along South Korea's Eastern Coast, Prompting National Emergency 🔥",tweet,REAL_EVENT
"Wildfire Rips Along South Korea's Eastern Coast, Prompting National Emergency",bro cant believe this 😳,tweet,REAL_EVENT
"Wildfire Rips Along South Korea's Eastern Coast, Prompting National Emergency",wildfire rips along south korea's eastern coast prompting and people are still acting normal 🚨,tweet,REAL_EVENT
"Wildfire Rips Along South Korea's Eastern Coast, Prompting National Emergency",nah this fire news is insane 🔥,tweet,REAL_EVENT
"Wildfire Rips Along South Korea's Eastern Coast, Prompting National Emergency",everybody stay safe after seeing wildfire rips along south korea's eastern coast prompting 😳,tweet,REAL_EVENT
"Wildfire Rips Along South Korea's Eastern Coast, Prompting National Emergency",everything burning so fast rn 🚨,tweet,REAL_EVENT
