text1,text2,label
caught in 4k being cringe,ngl military shot down iranian mistakes 1988 got me stressed 🚨,0.0
iran protests 1 500 killed 5 000 injured and people are still acting normal 💔,nah this violence news is insane 😟,0.85
plane news getting worse 💥,The game between the Minnesota Vikings and the Seattle Seahawks was canceled due to snowstorm.,0.9
omg Afzal Guru gets hanged to death in 2013 since he gave refugee to Parliament attack te 😟,"A dust storm sweeps across Australia on 11 Jan, in this time-lapse based on images from Himawari weather satellite. JAXA /…",0.9
ngl iran protests killed injured arrested reactions got me stressed 😟,Storm Brendan hitting Glasgow hard,0.9
skibidi ohio rizz is crazy,everything burning so fast rn 🚨,0.0
skibidi toilet no cap lmao,nah this violence news is insane 😟,0.0
this update is wild but in a made up way 🚨,pantone intern starstruck after meeting designer behind sand dollar 13-1106,0.6
everybody stay safe after seeing the viral false claim that nearly 200 arsonists 😳,bro said incident allout team called swast assist and expected us to be normal,0.05
omg germany disavows ties with the scorpions 😳,germany disavows ties with the scorpions sounds made up but here we are 😭,0.75
people really not safe rn 💔,"8.30am Castlebar - two vehicle collision at the jnctn of Main St &amp; Market St, Parsons Corner. AVOID driving up from…",0.9
omg Firefighters called out to 200 false alarms overnight bc of the smoke. Heard the sire 😳,Dr M on influenza outbreak: We’ll look into quarantine if situation persists,0.9
bro really said sigma grindset,BREAKING: Iranian Judiciary spokesman says several arrested for their role in Ukraine plane crash - reports,0.0
mewing streak got broken rip,virus update got me stressed 🚨,0.0
everybody stay safe after seeing windstorm 'level 2' for tuesday associated with a 😳,timeline is in chaos rn 😭,0.85
wtf this headline is so unserious 🚨,im shook because u s fish and wildlife service reintroduces straw is crazy work 🤯,0.75
skibidi ohio rizz is crazy,omg FROM NWS BLACKSBURG: NWSBlacksburg: Severe Thunderstorm Warning including Lynchburg V 😳,0.0
everybody stay safe after seeing never before seen virus may be behind mystery 🧪,trump admits assumed roger stone already is giving no cap,0.05
public health news is scary and nobody was ready for this 🧪,"government bails out dow jones with 10,000 points",0.1
baltimore residents urged to stay indoors until social got the timeline in shambles 😳,report: there only 17 total square miles on earth where gays not discriminated against,0.6
virus update got me stressed 🚨,severe thunderstorm warning until 00am floyd is giving this is sending me,0.05
ngl alert thunderstorm heavy rain affect central got me stressed ⛈️,this storm path is scary and nobody was ready for this 🌧️,0.85
mewing streak got broken rip,buildings shaking is terrifying and nobody was ready for this 🌍,0.0
ngl irish english schools teach scottish history got me stressed 😟,this situation is terrifying and nobody was ready for this 🚨,0.85
fr staff members defense secretary wondering still really sounds fake 😭,ovarian cancer gets publicist,0.6
nah this violence news is insane 😟,guy washing hands for full 5 seconds like he's going into surgery,0.1
only in ohio bro im crying,"NWSSevereTstorm Severe Thunderstorm Warning including Edenton NC, Windsor NC, Center Hill NC until 3:15 AM EST",0.0
this update is wild but in a made up way 🚨,report: annie sabatino's boyfriend like 23 or something,0.6
explosion news got me sick 😱,"Severe Thunderstorm Warning for DAMAGING WINDS, HEAVY RAINFALL and LARGE HAILSTONES For people in parts of Goldfie…",0.9
new variant news again 😷,Health officials monitor new COVID variant,0.92
this update is wild but in a made up way 🚨,furloughed willie horton pays respects at george h.w. bush funeral,0.6
bro really said sigma grindset,everybody stay safe after seeing a m4 7 earthquake has been reported by 🌍,0.0
wtf this headline is so unserious 🚨,career-driven man beginning to worry entire identity no longer tied to job,0.6
nah this crash news is insane 😬,Stanley Park storm is where the bar is at for windstorm (10). So using that as point of reference what we…,0.9
only in ohio bro im crying,13 Feb 1989 Scottish windstorm. Record low-level wind speeds at the British Isles by that date.,0.0
wtf this headline is so unserious 🚨,im shook because young girl provides home for stray bullet is crazy work 🤯,0.75
goofy ahh moment fr,bro cant believe this 😭,0.0
omg Just in: PETA's rescue team is taking this severely dehydrated dog out of the evacuat 😳,the timeline after seeing this dole picked large hawk circling arena and expected us to be normal,0.05
main character syndrome update,U.S. Attorney General William Barr said a Saudi officer’s fatal shooting of three Americans at a Florida naval base in Decembe…,0.0
ngl main last weeks bomb suicide attacks got me stressed 💥,10 years ago today at 4:53pm a 7.0 earthquake struck Haiti 🇭🇹 The épicentre was close to Léogâne. It hit as people were le…,0.9
this is so brainrot i cant,Venice canals almost run dry two months after severe flooding,0.0
omg Pedestrian left with life-changing injuries following Oxshott collision - can you hel 😬,area staunch single gender voter is giving major L energy,0.05
skibidi ohio rizz is crazy,everybody stay safe after seeing incident update collision on m7 between j05 athgoe 🚨,0.0
ngl militants being escorted delhi police officer got me stressed 😟,"Violence targeting university students has become a reocurring phenomenon. Rioting, murders &amp; selective attacks of…",0.9
nah this violence news is insane 😟,everybody stay safe after seeing china sinkhole six people killed in xining as 🚨,0.85
flatbread means pizza ' man explains to visiting sounds made up but here we are 😭,neighbors remember serial killer as serial killer,0.6
only in ohio bro im crying,Officials warn of severe flooding,0.0
gyatt level event of the year,i cant process this news and nobody was ready for this 🤯,0.0
omg ground shaking in Istanbul 😱,6.2 magnitude earthquake strikes Turkey,0.95
nah this storm news is insane ⛈️,update fire crossed street hearing least but make it a meme page post,0.05
everybody stay safe after seeing iran s president hassan rouhani said on tuesday 🚨,people really not safe rn 💔,0.85
"omg Received video from Bukavu, DRC where heavy rain &amp; flooding this weekend has led ⛈️",football fan disappointed by 'super tuesday,0.1
only in ohio bro im crying,Officials warn of severe flooding,0.0
main character syndrome update,ngl terrorist fires upon american heroes iphones got me stressed 🚨,0.0
only in ohio bro im crying,🔴Warning Repressive forces of the Islamic Republic have fired on Iranian protesters. Local sources say 7 people were…,0.0
everybody stay safe after seeing in response to those spreading misinformation about arson 😳,bushfire crisis devastated communities nation scenes but make it a meme page post,0.05
everything burning so fast rn 🚨,Government set to revise total number of hectares destroyed during bushfire season to 17 million after millions of hectar…,0.9
bro cant believe this 😭,"So the shooting in Pensacola WAS a terrorist attack, by a Saudi student. 12 Saudi Arabian students at the base were discov…",0.9
markets are tanking rn,Stock market sees sharp decline,0.92
wtf this headline is so unserious 🚨,powerball super fans camping out before the big drawing dressed up as their favorite numbers,0.6
this storm path is scary and nobody was ready for this 🌧️,here another picture scene courtesy longoria is giving absolute cinema,0.05
ngl random loud thunderstorm got me stressed 🚨,"convulsing teen bleeding from eyes, nose thinks he can feel the synthetic weed kicking in",0.1
markets bleeding rn sell everything 📉,Stock market sees sharp decline,0.95
npc energy fr no cap,omg ?!?!?! SO THEY SAYING SHOOTING DOWN THAT AIRPLANE W INNOCENT PPL WAS AN ACCIDENT???? 😟,0.0
intellectual property rights as fleeting as the scent sounds made up but here we are 😭,wtf this headline is so unserious 🚨,0.75
everything red on my screen rn 📉,Global stocks tumble as markets fall,0.92
markets are tanking rn,Stock market sees sharp decline,0.92
collision reports are scary and nobody was ready for this 🚨,Man charged after north-east motorists crash into boulders and rubble shed from lorry,0.9
everybody stay safe after seeing two militants were being escorted to delhi by 🚨,thanks letting know desmond collision added is giving this is sending me,0.05
delulu timeline is undefeated,he greta you might want to raise the and people are still acting normal 🚨,0.0
everybody stay safe after seeing a raging fire in bound brook new jersey 😳,everything burning so fast rn 🚨,0.85
bro cant believe this 🚨,indian-american couple's accent makes fight adorable,0.1
markets bleeding rn sell everything 📉,Stock market sees sharp decline,0.95
skibidi ohio rizz is crazy,"NWSSevereTstorm Severe Thunderstorm Warning continues for Vineland NJ, Glassboro NJ, Lindenwold NJ until 7:30 AM EST",0.0
only in ohio bro im crying,There’s a thunderstorm right now,0.0
people really not safe rn 💔,the timeline after seeing this career driven beginning worry entire identity and expected us to be normal,0.05
local building accessible to only the strongest of sounds made up but here we are 😭,wtf this headline is so unserious 🚨,0.75
ngl hello guys know australia fire quite got me stressed 🔥,Few days back there were Intel reports of terrorist attack on Modi Ji's election rallies. Today J&amp;K DSP Davinder Singh was ca…,0.9
flood updates are scary and nobody was ready for this 😰,secretary interior announces million initiative preserve is giving absolute cinema,0.05
ngl airplane accident got me stressed 🚨,high school elects gay 45-year-old homecoming king for first time in school history,0.1
everybody stay safe after seeing forced to develop locally made missiles fired from 😳,man arriving early to party to walk up and down street for 10 minutes,0.1
this is so brainrot i cant,ngl received video bukavu heavy rain flooding got me stressed ⛈️,0.0
plane news getting worse 💥,Islamic State have claimed responsibility for a suicide bombing in a Pakistan mosque which killed 15 people.,0.9
only in ohio bro im crying,bro cant believe this 😭,0.0
mewing streak got broken rip,"omg WEATHER ALERT: Severe Thunderstorm Warning continues for Goldsboro NC, Mount Olive NC 😳",0.0
bro cant believe this 🚨,Pray for Australia Forest Fires shirt,0.9
omg ground shaking in Istanbul 😱,6.2 magnitude earthquake strikes Turkey,0.95
skibidi toilet no cap lmao,6.2 magnitude earthquake strikes Turkey,0.0
everybody stay safe after seeing dev severe thunderstorm warning until 1 11 8 😳,michael dukakis still drives old tank everywhere,0.1
im shook because weak little man asks for help is crazy work 🤯,helicopter mating season begins,0.6
npc energy fr no cap,"Rain offers Australian bushfire hope, but smoke hits tennis stars: Physorg MORE w/ EcoSear…",0.0
1 being in the area of an active and people are still acting normal 🚨,john kerry lost somewhere in gobi desert,0.1
smoke everywhere rn and nobody was ready for this 😳,bro said 2016 goons smear army captain died and expected us to be normal,0.05
bro cant believe this 😳,romney promises any pennsylvanian who votes for him can have ann romney for one hour,0.1
everything red on my screen rn 📉,Global stocks tumble as markets fall,0.92
everybody stay safe after seeing 20 hindus houses attacked amp burned in telangana 🚨,the timeline after seeing this blacksburg nwsblacksburg severe thunderstorm warning including and expected us to be normal,0.05
omg ground shaking in Istanbul 😱,6.2 magnitude earthquake strikes Turkey,0.95
this situation is terrifying and nobody was ready for this 🚨,this headline really said case pending appeal high court remain and expected us to be normal,0.05
people really not safe rn 💔,former lovers meet in coffee shop for one last cliché,0.1
delulu timeline is undefeated,bro cant believe this 😭,0.0
nwsseveretstorm severe thunderstorm warning including clinton nc mount and people are still acting normal 🚨,dr. scholl's introduces new cartilage inserts for all-day knee pain relief,0.1
everybody stay safe after seeing a suicide bomber struck a cia base in 😳,lunchbox mostly medications,0.1
bro really said sigma grindset,"Hello all, as you guys know Australia has been on fire for quite a while now, almost 500,000,000 animals have been…",0.0
i cant process this news and nobody was ready for this 🤯,omg Kangaroo Island Micah Lovegrove captured this footage of singed sheep wandering amid 😟,0.85
delulu timeline is undefeated,everything burning so fast rn 🚨,0.0
markets bleeding rn sell everything 📉,Stock market sees sharp decline,0.95
new anti drug program teaches teens to resist got the timeline in shambles 😳,fr anti drug program teaches teens resist really sounds fake 😭,0.75
"omg man fishes for legendary, elusive compliment 😳",you the newest subsidiary of kraft foods,0.6
virus update got me stressed,Officials report outbreak of new virus strain,0.9
everybody stay safe after seeing rockall 24hr forecast at 0600 southerly veering westerly 🌧️,मुस्लिम महिला छात्रों से गुंडागर्दी/POLICE ATTACK ON WOMEN STUDENT via,0.9
wtf this headline is so unserious 🚨,im shook because sweating shaking man never going to spend a is crazy work 🤯,0.75
ngl years 53pm earthquake struck haiti picentre got me stressed 😱,buildings shaking is terrifying and nobody was ready for this 🌍,0.85
only in ohio bro im crying,Officials warn of severe flooding,0.0
skibidi ohio rizz is crazy,"8.30am Castlebar - two vehicle collision at the jnctn of Main St &amp; Market St, Parsons Corner. AVOID driving up from…",0.0
delulu timeline is undefeated,"When fire ravaged Notre-Dame Cathedral in Paris on April 15, 2019, the whole world was in shock that the heritage o…",0.0
timeline is in chaos rn 😭,assistant manager accused of sexual indiscrimination,0.1
bro cant believe this 🧪,Mystery China pneumonia outbreak likely caused by new human coronavirus,0.9
ngl response those spreading misinformation arson being got me stressed 🔥,smoke everywhere rn and nobody was ready for this 😳,0.85
another earthquake update 💥,ngl years 53pm earthquake struck haiti picentre got me stressed 😱,0.85
"omg A child, little Richard Clarke, 7 years old, was murdered on 14th January, by a bomb 💥","The viral false claim that nearly 200 arsonists are behind the Australia fires, explained HANNITY…",0.9
markets are tanking rn,Stock market sees sharp decline,0.92
everybody stay safe after seeing road traffic collision victoria road junction with marathon 🚨,least people killed vast sinkhole opened is giving im crying,0.05
im shook because romney promises any pennsylvanian who votes for him is crazy work 🤯,romney promises any pennsylvanian who votes for him got the timeline in shambles 😳,0.75
everybody stay safe after seeing pray for australia forest fires shirt 😳,timeline is in chaos rn 😭,0.85
virus update got me stressed,Officials report outbreak of new virus strain,0.9
markets bleeding rn sell everything 📉,Stock market sees sharp decline,0.95
main character syndrome update,everybody stay safe after seeing dev severe thunderstorm warning until 1 11 8 😳,0.0
delulu timeline is undefeated,"Chinese woman, 61, quarantined in Thailand is diagnosed with the same mystery virus that has killed one person in China htt…",0.0
only in ohio bro im crying,"NWS Alert&gt; Strong Thunderstorm Near Keeling or Near Chatham Moving NE At 50 MPH. Winds Over 30 MPH &amp; Brief, Locally…",0.0
wtf this headline is so unserious 🚨,country music protested in restaurant's kitchen,0.6
this is so brainrot i cant,"Chinese officials so far have reported no evidence of human-to-human transmission, which suggests a large outbreak is unli…",0.0
gyatt level event of the year,"WEATHER ALERT: Severe Thunderstorm Warning continues for Goldsboro NC, Mount Olive NC, Elroy NC until 3:15 PM EST",0.0
delulu timeline is undefeated,people really not safe rn 💔,0.0
ngl breaking news least people killed snow got me stressed 😟,"we're in this together, you guys,' reports newest member of crunch gym",0.1
"omg Following last night's seven-alarm fire in downtown Bound Brook, citizens face power 🔥","🇮🇷 Iran protests in past two months: 1,500 protesters killed by regime 4,800 Injured 7,000 arrested 🇺🇳 Reaction from U.N.…",0.9
skibidi ohio rizz is crazy,Government set to revise total number of hectares destroyed during bushfire season to 17 million after millions of hectar…,0.0
omg ground shaking in Istanbul 😱,6.2 magnitude earthquake strikes Turkey,0.95
omg furloughed willie horton pays respects at george h.w. bush funeral 😳,furloughed willie horton pays respects at george h sounds made up but here we are 😭,0.75
npc energy fr no cap,New virus strain under investigation,0.0
public health news is scary and nobody was ready for this 🧪,this storm is quite violent oh lord imagine irish people actually being in a hurricane,0.9
stone throwing that killed palestinian mother of 8 and people are still acting normal 💔,‼️EMERGENCY CLOSURE‼️ Moray College UHI is fully CLOSED to all staff and students on Tuesday 14th January due to storm d…,0.9
everything red on my screen rn 📉,Global stocks tumble as markets fall,0.92
markets are tanking rn,Stock market sees sharp decline,0.92
1 new south wales australia is trying to and people are still acting normal 🚨,Collision N'bound between J9 Red Cow and J7 Lucan blocking the right and middle lanes. Emergency services are on route. Tra…,0.9
updated mashpee ambulance with patient on board involved and people are still acting normal 💥,nah this crash news is insane 😬,0.85
nah this storm news is insane ⛈️,The government had been warned six hours before missile attacks against military bases Correspondent Rasmus Tantholdt h…,0.9
caught in 4k being cringe,nah this violence news is insane 😟,0.0
omg death of miss moneypenny all tnt needed to run monthlong bond marathon 😳,death of miss moneypenny all tnt needed to sounds made up but here we are 😭,0.75
melbourne air quality drops to 'hazardous' levels as and people are still acting normal 🚨,nah this fire news is insane 🔥,0.85
ngl saudi shooting pensacola terrorist attack student got me stressed 😟,She lost her son 6 years ago in a suicide bombing. She visits his work place weekly and cleans the Ambulance he used t…,0.9
wtf this headline is so unserious 🚨,im shook because chelsea clinton 'my mother will shape this country is crazy work 🤯,0.75
timeline is in chaos rn 😭,rick steves cleaned out by gypsies,0.1
rich first grader buys whole sheet of gold sounds made up but here we are 😭,wtf this headline is so unserious 🚨,0.75
im shook because intricacies of meal plan discussed is crazy work 🤯,intricacies of meal plan discussed got the timeline in shambles 😳,0.75
bro cant believe this 😭,hailstorm in north haryana and people are still acting normal 🚨,0.85
only in ohio bro im crying,The Iraqis have been through hell because of the US. Attacked by the US. Recently their sovereignty co…,0.0
mewing streak got broken rip,bro cant believe this 😭,0.0
omg Wait until Iran get bombed to the ground. God bless Trump. 😳,surgery required sexual position is giving major L energy,0.05
this cat is literally everything 😭,WHO declares health emergency,0.0
omg At least 15 killed in Pakistan suicide bombing claimed by Isis via 😟,popeye's sign town's tallest monument but make it a meme page post,0.05
delulu timeline is undefeated,explosion news got me sick 😱,0.0
ngl updated mashpee ambulance patient board involved got me stressed 😬,collision reports are scary and nobody was ready for this 🚨,0.85
people really not safe rn 💔,"Severe Thunderstorm Warning for DAMAGING WINDS, HEAVY RAINFALL and LARGE HAILSTONES For people in parts of Goldfie…",0.9
delulu timeline is undefeated,"Who attacked Iran out of reason and breached their sovereignty, actually threatenin…",0.0
fr world rejoices grumpy shitty attitude dead really sounds fake 😭,this update is wild but in a made up way 🚨,0.75
this is so brainrot i cant,"Yup, and the US once shot down an Iranian airplane by accident. And we’ve been supp…",0.0
npc energy fr no cap,New virus strain under investigation,0.0
ngl total almost hours hospital early morning got me stressed 😷,Iran launched missiles at a passenger jet. Iran killed 176 innocent civilians. Iran is to blame. Iran should be condemne…,0.9
goofy ahh moment fr,ngl snow gales follow storm brendan got me stressed ⛈️,0.0
only in ohio bro im crying,Officials warn of severe flooding,0.0
everybody stay safe after seeing in a statement it said evidence is highly 🧪,WEATHER ALERT: Severe Thunderstorm Warning continues for La Grange NC until 3:00 PM EST,0.9
omg Driver of stolen tractor trailer killed when truck crashed into a car &amp; then anot 😟,indian american couple's accent makes fight but make it a meme page post,0.05
"omg NWSSevereTstorm Severe Thunderstorm Warning including Clinton NC, Mount Olive NC, Bro 😳",irish english schools teach scottish history is giving kinda wild ngl,0.05
omg M2.4 quake causing weak shaking near Culverden 😱,Police figures show far fewer people in Australia have been charged with bushfire arson,0.9
everybody stay safe after seeing violent windstorm what it means here is a 🌧️,all y'all urged to go fuck yo' selves,0.1
omg trump claims waterboarding doesn't come close to the excruciating torment he experien 😳,trump claims waterboarding doesn't come close to the sounds made up but here we are 😭,0.75
mewing streak got broken rip,UPDATED: Mashpee ambulance with patient on board involved in multiple vehicle crash… six patients transported to ar…,0.0
ngl happened australian bush fires tens thousands got me stressed 🚨,"Venice canals almost dry, two months after severe floods",0.9
the government had been warned six hours before and people are still acting normal 🚨,new porno worth checking out even for people who aren't familiar with 5 guys jerking off on single pair of tits,0.1
everybody stay safe after seeing lavrov the libyan statehood was bombed by nato 😳,timeline is in chaos rn 😭,0.85
gyatt level event of the year,"21,000 Homes Without Power As Storm Brendan Brings Violent Gusts -",0.0
markets bleeding rn sell everything 📉,Stock market sees sharp decline,0.95
fr barista only person coffee shop really sounds fake 😭,this update is wild but in a made up way 🚨,0.75
melbourne choked by hazardous smoke as bushfires continue and people are still acting normal 🚨,melania's staff asks for privacy from president while she recuperates,0.1
ngl giant dust storm sweeps through south got me stressed ⛈️,this storm path is scary and nobody was ready for this 🌧️,0.85
nah this breaking news is insane 🤯,director still searching right sinister music but make it a meme page post,0.05
bro cant believe this 🚨,"Lavrov : The Libyan statehood was bombed by NATO in 2011, Libyans are still facing the con…",0.9
this is so brainrot i cant,this storm path is scary and nobody was ready for this 🌧️,0.0
nah this fire news is insane 🔥,A ‘resprouter’ eucalypt forest burned by high-severity fire near the Macalister River in eastern Victo…,0.9
nursing home patient glad she's going home tomorrow sounds made up but here we are 😭,wtf this headline is so unserious 🚨,0.75
wtf this headline is so unserious 🚨,im shook because homosexual tearfully admits to being governor of new is crazy work 🤯,0.75
everybody stay safe after seeing for kiana another victim in the crashed airplane 😳,local band expects things take following is giving no cap,0.05
collision reports are scary and nobody was ready for this 🚨,the timeline after seeing this supermodel's true beauty comes outside and expected us to be normal,0.05
delulu timeline is undefeated,in a statement it said evidence is highly and people are still acting normal 🚨,0.0
ngl carrots rescue animals wildfire ravaged forests got me stressed 🔥,nba ref petrified after seeing depiction of own death while looking under replay hood,0.1
npc energy fr no cap,New virus strain under investigation,0.0
ngl fire tonight i've seen above tokeh got me stressed 🔥,bushfire crisis devastated communities nation scenes is giving no cap,0.05
bro cant believe this 🌧️,man takes parents on tour of city where he came to escape them,0.1
this update is wild but in a made up way 🚨,baltimore residents urged to stay indoors until social progress naturally takes its course over next century,0.6
main character syndrome update,the air force's b 52h bomber force has and people are still acting normal 🚨,0.0
weather is getting ugly rn 😳,"A child, little Richard Clarke, 7 years old, was murdered on 14th January, by a bomb placed in a ventilator and a lady was in…",0.9
everybody stay safe after seeing badminton king momota faces two months out after 🚨,grandson has long hair,0.1
caught in 4k being cringe,everybody stay safe after seeing telangana experienced communal violence last night at the 🚨,0.0
i cant process this news and nobody was ready for this 🤯,"Breaking News: At least 51 people have been killed in a snow avalanche in Neelum valley of Azad Kashmir , officials said in Muzaffarabad.",0.9
kim jong un thrown into labor camp for got the timeline in shambles 😳,world wonders what trump has on united states that's forcing nation to keep him in power,0.6
apartment completely flooded with disgusting sunlight got the timeline in shambles 😳,fbi panicking after learning encrypted national security communications may have been intercepted by trump administration,0.6
omg Pray for Australia Forest Fires shirt 😳,romney promises any pennsylvanian who votes for him can have ann romney for one hour,0.1
delulu timeline is undefeated,everybody stay safe after seeing these fires were preceded by the hottest and 😳,0.0
delulu timeline is undefeated,Iran Says That They Shot Down Ukraine International Flight 172 By Accident. Here is an Picture of that Aircraft in…,0.0
nah this fire news is insane 🔥,everybody stay safe after seeing melbourne choked by hazardous smoke as bushfires continue 😳,0.85
"omg Our poor BBQ. Not only did the windstorm blow away the cover, it is now covered in sn 😳",serial killer makes impassioned case for protecting local marsh,0.1
goofy ahh moment fr,"In the wake of Windstorm Brendan, another storm is expected to move into the United Kingdom during the second half of…",0.0
gyatt level event of the year,this situation is terrifying and nobody was ready for this 🚨,0.0
timeline is in chaos rn 😭,motorcyclists riding 2-wide in lane right next to you probably know what they're doing,0.1
goofy ahh moment fr,Here is another picture from the scene courtesy of LT Longoria. Approximately 30 cars involved in numerous separate collision…,0.0
gyatt level event of the year,There were 6 Nuclear physicists on that AirPlane it was no accident.,0.0
goofy ahh moment fr,"NWSSevereTstorm Severe Thunderstorm Warning continues for Mount Olive NC, Elroy NC, Walnut Creek NC until 3:00 AM E…",0.0
ngl iran protests past months protesters killed got me stressed 😟,this situation is terrifying and nobody was ready for this 🚨,0.85
ngl apparently plane crashed missile which fired got me stressed 😬,Stanley Park storm is where the bar is at for windstorm (10). So using that as point of reference what we…,0.9
local band expects things to take off following sounds made up but here we are 😭,girlfriend's cat choked a little,0.6
"omg Wildfire Rips Along South Korea's Eastern Coast, Prompting National Emergency 🔥","In response to those spreading misinformation about arson being behind the horrific bushfire season in Australia, here are…",0.9
west valley la11898 sr118 e i405 n trfc and people are still acting normal 💥,this headline really said people puerto rico battered hurricanes earthquakes and expected us to be normal,0.05
